name,color
Alex Potanin,#00bfff
David Pearce,#d3d3d3
James Noble,#00bfff
Lindsay Groves,#ffff00
Marco Servetto,#d3d3d3
Qiang Fu,#32CD32
Dean Pemberton,#d3d3d3
Marcus Frean,#d3d3d3
Ian Welch,#d3d3d3
Winston Seah,#ffc0cb
Bryan Ng,#ffc0cb
Mengjie Zhang,#32CD32
Ramesh Rayudu,#d3d3d3
Stuart Marshall,#00bfff
Xiaoying Gao,#32CD32
Peter Andreae,#32CD32
Bing Xue,#00bfff
Marcus Frean,#d3d3d3
W. Kleijn,#32CD32
Hui Ma,#00bfff
Gang Chen,#d3d3d3
Christopher Hollitt,#d3d3d3
John Lewis,#ffc0cb
Taehyun Rhee,#ffc0cb
Ramesh Rayudu,#d3d3d3
Yi Mei,#d3d3d3
Ramesh Rayudu,#d3d3d3
Thomas Kühne,#d3d3d3
Mo Zareei,#d3d3d3
Ajay Kapur,#d3d3d3
Dale Carnegie,#ffc0cb
Neil Dodgson,#32CD32
Paul Teal,#d3d3d3
Zohar Levi,#ffc0cb
Michael Homer,#d3d3d3
Kris Bubendorfer,#00bfff
Pawel Dmochowski,#d3d3d3
Dionysis Athanasopoulos,#00bfff
David Streader,#d3d3d3
