name,abbrv,color,coauthored
Stephen Intille,S. Intille,#ffc0cb,1
Timothy Bickmore,T. Bickmore,#ffc0cb,1
Harriet Fell,H. Fell,#d3d3d3,1
Matthew Goodwin,M. Goodwin,#ffc0cb,1
Lu Wang,L. Wang,#32CD32,0
Frank Tip,F. Tip,#00bfff,1
Jan Vitek,J. Vitek,#00bfff,1
Tina Eliassi-Rad,T. Eliassi-Rad,#32CD32,0
Engin Kirda,E. Kirda,#00bfff,1
William Robertson,W. Robertson,#00bfff,1
Guevara Noubir,G. Noubir,#00bfff,1
Alina Oprea,A. Oprea,#00bfff,1
Thomas Wahl,T. Wahl,#ffff00,0
Christoph Riedl,C. Riedl,#d3d3d3,0
Cristina Nita-Rotaru,C. Nita-Rotaru,#00bfff,0
Christo Wilson,C. Wilson,#00bfff,1
David Lazer,D. Lazer,#00bfff,1
Alan Mislove,A. Mislove,#00bfff,1
David Choffnes,D. Choffnes,#00bfff,1
Jonathan Ullman,J. Ullman,#ffff00,0
Javed Aslam,J. Aslam,#32CD32,1
Ravi Sundaram,R. Sundaram,#ffff00,1
Rajmohan Rajaraman,R. Rajaraman,#ffff00,1
Agnes Chan,A. Chan,#d3d3d3,1
Daniel Wichs,D. Wichs,#ffff00,1
Emanuele Viola,E. Viola,#ffff00,1
Peter Desnoyers,P. Desnoyers,#00bfff,1
Gillian Smith,G. Smith,#ffc0cb,0
Mirek Riedewald,M. Riedewald,#00bfff,1
Panagiotis Manolios,P. Manolios,#ffff00,1
Kenneth Baclawski,K. Baclawski,#d3d3d3,0
Misha Pavel,M. Pavel,#32CD32,0
Andrea Parker,A. Parker,#ffc0cb,0
Ehsan Elhamifar,E. Elhamifar,#32CD32,0
Yun Fu,Y. Fu,#32CD32,0
Olin Shivers,O. Shivers,#00bfff,1
Carla Brodley,C. Brodley,#32CD32,1
Byron Wallace,B. Wallace,#32CD32,1
Cody Dunne,C. Dunne,#ffc0cb,0
Marsette Vona,M. Vona,#ffc0cb,0
Rupal Patel,R. Patel,#d3d3d3,0
Albert-László Barabási,A. Barabási,#32CD32,0
William Clinger,W. Clinger,#d3d3d3,0
Viera Proulx,V. Proulx,#d3d3d3,0
Mitchell Wand,M. Wand,#00bfff,1
Gene Cooperman,G. Cooperman,#00bfff,0
Alessandro Vespignani,A. Vespignani,#d3d3d3,0
Abhi Shelat,A. Shelat,#ffff00,0
Magy El-Nasr,M. El-Nasr,#ffc0cb,1
Stacy Marsella,S. Marsella,#32CD32,1
Huy Nguyen,H. Nguyen,#ffff00,0
Amal Ahmed,A. Ahmed,#00bfff,0
Matthias Felleisen,M. Felleisen,#00bfff,1
Karl Lieberherr,K. Lieberherr,#d3d3d3,0
Jan-Willem van de Meent,J. van de Meent,#32CD32,0
Seth Cooper,S. Cooper,#ffc0cb,0
Robert Platt,R. Platt,#ffc0cb,0
David Smith,D. Smith,#32CD32,0
Olga Vitek,O. Vitek,#ffc0cb,0
Michelle Borkin,M. Borkin,#ffc0cb,0
Christopher Amato,C. Amato,#32CD32,0
