name,color
Scott Kuindersma,#ffc0cb
Barbara Grosz,#32CD32
Stuart Shieber,#32CD32
Krzysztof Gajos,#ffc0cb
Finale Doshi-Velez,#32CD32
Stratos Idreos,#00bfff
Alexander Rush,#32CD32
Hanspeter Pfister,#ffc0cb
David Parkes,#32CD32
Michael Rabin,#ffff00
Yiling Chen,#32CD32
Margo Seltzer,#00bfff
Salil Vadhan,#ffff00
Yaron Singer,#ffff00
Stephen Chong,#00bfff
Leslie Valiant,#32CD32
Jelani Nelson,#ffff00
Boaz Barak,#ffff00
Madhu Sudan,#ffff00
Michael Mitzenmacher,#32CD32
David Brooks,#00bfff
Eddie Kohler,#00bfff
H. Kung,#00bfff
James Mickens,#00bfff
Radhika Nagpal,#ffc0cb
Steven Gortler,#32CD32
David Cox,#d3d3d3
Jim Waldo,#d3d3d3
