name,abbrv,color,coauthored
I. Ramakrishnan,I. Ramakrishnan,#32CD32,1
Klaus Mueller,K. Mueller,#ffc0cb,1
Rong Zhao,R. Zhao,#ffc0cb,1
C. Ramakrishnan,C. Ramakrishnan,#00bfff,1
Scott Stoller,S. Stoller,#00bfff,1
Scott Smolka,S. Smolka,#ffff00,1
R. Sekar,R. Sekar,#00bfff,1
Arie Kaufman,A. Kaufman,#ffc0cb,1
Nima Honarmand,N. Honarmand,#00bfff,0
Rezaul Chowdhury,R. Chowdhury,#ffff00,1
Michael Bender,M. Bender,#ffff00,1
Robert Patro,R. Patro,#ffc0cb,1
Steven Skiena,S. Skiena,#ffc0cb,1
Barbara Chapman,B. Chapman,#00bfff,0
Radu Sion,R. Sion,#00bfff,1
Michael Ferdman,M. Ferdman,#00bfff,1
Jie Gao,J. Gao,#00bfff,1
Erez Zadok,E. Zadok,#00bfff,1
Xianfeng Gu,X. Gu,#ffc0cb,1
Hong Qin,H. Qin,#ffc0cb,1
Dimitris Samaras,D. Samaras,#32CD32,1
Niranjan Balasubramanian,N. Balasubramanian,#32CD32,1
Aruna Balasubramanian,A. Balasubramanian,#00bfff,1
Yanhong Liu,Y. Liu,#00bfff,1
Omkant Pandey,O. Pandey,#ffff00,0
Michael Kifer,M. Kifer,#00bfff,0
Eugene Stark,E. Stark,#d3d3d3,1
Roy Shilkrot,R. Shilkrot,#ffc0cb,0
Samir Das,S. Das,#00bfff,1
Himanshu Gupta,H. Gupta,#00bfff,1
Michalis Polychronakis,M. Polychronakis,#00bfff,1
Fusheng Wang,F. Wang,#00bfff,0
Allen Tannenbaum,A. Tannenbaum,#32CD32,0
Francesco Orabona,F. Orabona,#32CD32,0
Minh Nguyen,M. Nguyen,#32CD32,0
Hansen Schwartz,H. Schwartz,#32CD32,0
Anita Wasilewska,A. Wasilewska,#d3d3d3,1
Jing Chen,J. Chen,#ffff00,0
Anshul Gandhi,A. Gandhi,#00bfff,0
Long Lu,L. Lu,#00bfff,0
Nick Nikiforakis,N. Nikiforakis,#32CD32,0
Xiaojun Bi,X. Bi,#ffc0cb,0
