name,scholarid
Emery D. Berger,RaHaArkAAAAJ
David E. Keyes,Ps73fz8AAAAJ
Dani Lischinski,haahCZ4AAAAJ
Tyson Condie,7SdcAiEAAAAJ
Guy-Vincent Jourdan,r3ZtMxcAAAAJ
Ben Swift,OQdYgLEAAAAJ
Ken Birman,I-rKkyEAAAAJ
Ilan Reuven Cohen,lYCzcUIAAAAJ
Rajkumar Buyya,7xN6JqYAAAAJ
Tran Cao Son,7jKj_NcAAAAJ
Shanika Karunasekera,WG0tRVcAAAAJ
Mukul Bansal,XCa-z_QAAAAJ
Baishakhi Ray,VaAEb5YAAAAJ
Benjamin Bach,dXbz4FgAAAAJ
Chandan Karfa,pp-UnuoAAAAJ
Fan Cheng,aECSCPUAAAAJ
Giacomo Verticale,FVl1fRUAAAAJ
Pat Hanrahan,RzEnQmgAAAAJ
Carsten Rother,N_YNMIMAAAAJ
Mo Zareei,Hb-pljwAAAAJ
Thomas Dueholm Hansen,yng9wxIAAAAJ
Shen Furao,bjSi-dIAAAAJ
Weining Zhang,qmc5whEAAAAJ
Robert Kraut,HKGYvu4AAAAJ
Richard Brent,TRcAF4cAAAAJ
Nasir Memon,Pz0YttAAAAAJ
Himanshu Gupta,3a-0dbMAAAAJ
Stefan Marr,h7WXkAoAAAAJ
Steve Cutchin,vH5VbsQAAAAJ
Xiaohui Xie,1CR0meYAAAAJ
Jim Carter,v_YyMagAAAAJ
Rong Chen,5Yjb93IAAAAJ
Gurminder Singh,VP5CMagAAAAJ
Hing Leung,LunDJDMAAAAJ
Justin Solomon,pImSVwoAAAAJ
Jeff Trinkle,Dl0vAp8AAAAJ
Lee A. D. Cooper,vEUDBkYAAAAJ
Hyesoon Kim,7OvZhQIAAAAJ
Jörg Denzinger,Mb2LCH8AAAAJ
Michael Schatz,rcs6IKwAAAAJ
Wojciech Jarosz,vrjL9p0AAAAJ
Sergio Alvarez,X8_J4FEAAAAJ
Yoshimasa Tsuruoka,J2CkFngAAAAJ
Srivas Chennu,8BIf5MEAAAAJ
Gautam Biswas,-m5wrTkAAAAJ
Bryan Ng,OypvS8QAAAAJ
Sea Ling,16YOBUgAAAAJ
Milos Ercegovac,92mdADUAAAAJ
Vijay Ganesh,YP23eR0AAAAJ
Arie Gurfinkel,WHTB3_MAAAAJ
Howie Choset,4fvo61oAAAAJ
Bhojan Anand,FDxsgEgAAAAJ
Jue Xie,J8X_9JAAAAAJ
Hyun Seung Yang,0cTDXWcAAAAJ
Smruti R. Sarangi,-5JfCRsAAAAJ
Kenny Wong,I__Yju4AAAAJ
Michael Kazhdan,soUq_eQAAAAJ
Björn Hartmann,aZMY6_UAAAAJ
Ravi Prakash,MJyWxOYAAAAJ
Omkant Pandey,Av4MFGAAAAAJ
Ion Stoica,vN-is70AAAAJ
Guofei Gu,SRC3O-4AAAAJ
Giuseppe Cattaneo,PKs7M0gAAAAJ
Ramesh Karri,o60TaTEAAAAJ
Jordi Domingo-Pascual,sPD_L5YAAAAJ
Zhendong Su,RivxoIcAAAAJ
Marco Servetto,X7AUaVIAAAAJ
Mark Batty,MnDiDMcAAAAJ
V. Vijaya Saradhi,1DpQo5AAAAAJ
Ling Feng,sFFYgzkAAAAJ
Christopher J. Rossbach,pPSWi5EAAAAJ
Oded Schwartz,uwrwLJcAAAAJ
Sergey Polyakovskiy,JTeFG4IAAAAJ
Neil Bergmann,M7kg0MQAAAAJ
Lorenzo Clemente,N5a0IB8AAAAJ
Saurabh Sinha,7BM1uyYAAAAJ
Gabriele Keller,XdLrDAYAAAAJ
Manu Awasthi,AaMBbMMAAAAJ
K. Lakshmanan,K2Q4ZxkAAAAJ
Wojciech Jaworski,-U3eYewAAAAJ
Dinghao Wu,Vxaxv10AAAAJ
Ali M. Niknejad,urhvgT0AAAAJ
Murali Sitaraman,kLWmLJwAAAAJ
Ying-li Tian,aAWeB4wAAAAJ
David Pointcheval,GzBaxPMAAAAJ
Joey Paquet,uzK_jQIAAAAJ
Pavol Federl,euyKfgUAAAAJ
Marie desJardins,UYLIgHAAAAAJ
Michael Fisher,hsxQxqEAAAAJ
Stuart Anderson,qAaJr0oAAAAJ
Arun Venkataramani,9v2UD2QAAAAJ
Dilma Da Silva,b32YyLIAAAAJ
Alex Endert,_ZIAy3cAAAAJ
John Knight,vIPVg1UAAAAJ
Alwen Tiu,92pa9z8AAAAJ
Rachel Greenstadt,FsbND-sAAAAJ
Lorenz Hilty,nRTZV54AAAAJ
Daniel Wigdor,x3hvdTsAAAAJ
Richard Banach,l0KTTxcAAAAJ
Na Liu,AIUvwAoAAAAJ
Ken Perlin,TGRPKRIAAAAJ
Alison Hill,35wY-0QAAAAJ
Gagan Agrawal,kOUPR1sAAAAJ
Panos Rondogiannis,a6x5amYAAAAJ
Bhubaneswar Mishra,Ta8xyLgAAAAJ
Arjun Guha,yMU0f9EAAAAJ
Björn Regnell,W37CtAwAAAAJ
Philip Terrill,4Cbu13gAAAAJ
C. Karen Liu,i28fU0MAAAAJ
Steve Hailes,LJD3OxkAAAAJ
Christoph Schommer,toyuQnMAAAAJ
Vinay P. Namboodiri,JyHi9OoAAAAJ
J. Andrew Bagnell,7t4jbPQAAAAJ
Boris Konev,W0VU0J8AAAAJ
Antoaneta Serguieva,hgThGaQAAAAJ
Kihong Park,3sh3er0AAAAJ
Parisa Kordjamshidi,Ugo3NGgAAAAJ
Gilles Geeraerts,_v-lho8AAAAJ
Bhaskaran Raman,qj3IRU8AAAAJ
Hwanjo Yu,LbrCa7EAAAAJ
Toshiyuki Nakata,wXZ9Ym4AAAAJ
Michael Radermacher,e_bBQ_8AAAAJ
Crystal Hepp,sZUrRioAAAAJ
Umesh Bellur,WnjGMjIAAAAJ
Beichuan Zhang,-IMW-w0AAAAJ
Davood Rafiei,lNxSDIwAAAAJ
Rubén Tous,eSkDKsAAAAAJ
Santosh Pande,d6vL_ZkAAAAJ
Massimiliano de Leoni,OejM6_AAAAAJ
Zeyar Aung,FPTI7B4AAAAJ
Iyad Ouaiss,Bs47qDUAAAAJ
Santiago Ontañón,aS-DrOwAAAAJ
Barbara Webb,k9T3V7EAAAAJ
Thomas Kühne,2oKrVJ4AAAAJ
Yongwei Wu,ld3axtkAAAAJ
Doug Downey,NpvcLukAAAAJ
Kevin Liu,6xDUqM0AAAAJ
Patrick Martin,KgIpvIsAAAAJ
Martin Rinard,hxlxVEUAAAAJ
Jiannan Wang,fKV65XQAAAAJ
Jonathan Berant,xCYHonIAAAAJ
Thomas R. Gross,YcxiFvMAAAAJ
Shoji Takeuchi,DqVCX9AAAAAJ
Feng Luo,joROlFwAAAAJ
Abdeslam Boularias,8AF3RCsAAAAJ
Dylan Shell,Qt-JcygAAAAJ
Qi Wei,6otVU08AAAAJ
Haim Kaplan,0hb9cdIAAAAJ
Kyunghyuns Cho,0RAmmIAAAAAJ
Tingting Yu,vcg-v-IAAAAJ
Hanghang Tong,RaINcuUAAAAJ
Andrew Meneely,LFxEgGoAAAAJ
Devavrat Shah,3qPiYJoAAAAJ
Edouard Bugnion,8ztj2yEAAAAJ
Yuan Qi,5GS24_oAAAAJ
Jay Aslam,-spRnaQAAAAJ
Amir Rahmati,_Y_YRLAAAAAJ
Rahul C. Basole,MKSxZp4AAAAJ
Raju S. Bapi,bbSYyiAAAAAJ
Chita R. Das,2kXsgI4AAAAJ
Shankar Kalyanasundaram,6RbnrdYAAAAJ
Yuping Wang,AdCVXc8AAAAJ
Nadine Akkari,GOL8WHoAAAAJ
Anne Roudaut,03epP5wAAAAJ
Alexander Aiken,3vKjkoQAAAAJ
Vyas Sekar,5V852JcAAAAJ
Gholamreza Anbarjafari,6gN67JAAAAAJ
Tijs van der Storm,yJ5PAekAAAAJ
Neil Bruce,UA7xfZIAAAAJ
Wojciech Rytter,hFJHqF4AAAAJ
Moshe Y. Vardi,DQaARsgAAAAJ
James Cremer,At2chacAAAAJ
Bharat Adsul,bZhCDxIAAAAJ
Martin Fürer,Pf49QrwAAAAJ
Mansour Jamzad,oKz2WAkAAAAJ
Eva Darulova,GrC1RcEAAAAJ
Rajat Mittal,gK5DF9QAAAAJ
Éva Tardos,h6jljQQAAAAJ
Paolo Ienne,oB0wsDcAAAAJ
Panagiotis Stamatopoulos,SZ4kZr0AAAAJ
Mikolás Janota,SFg4raQAAAAJ
Jinlei Jiang,Wx-JtQcAAAAJ
Hailong Yao,n0NwuegAAAAJ
Simon Lacoste-Julien,oejm5IUAAAAJ
Andrea Tagliasacchi,1RmD-YsAAAAJ
Qiaozhu Mei,zr22WkQAAAAJ
Michael D. Jones,OLUt0kgAAAAJ
Stephen Viller,spHMPHgAAAAJ
Bryan Parno,kTTBpJkAAAAJ
Emo Todorov,QCBdB7AAAAAJ
Basura Fernando,GyvseMkAAAAJ
Armin Haller,BehUprAAAAAJ
E. C. Xavier,Feq1wmgAAAAJ
Srini Srinivasan,EaKGGhsAAAAJ
R. Michael Young,HLz6zx4AAAAJ
Shanton Chang,saxbu9cAAAAJ
P. Sateesh Kumar,jc0x_v8AAAAJ
Sudipto Ghosh,I5zd7t0AAAAJ
Hui Wu,61DNIX0AAAAJ
Nicolai Vorobjov,xydcz6MAAAAJ
Sanjay Ranka,j7WSgbwAAAAJ
Joanna McGrenere,ZRWlokAAAAAJ
Peter King,jENQurUAAAAJ
Gudmund Skovbjerg Frandsen,bHvSLToAAAAJ
Walter Binder,g0nBOnMAAAAJ
Donald E. Porter,jVOPqi0AAAAJ
Emilie Morvant,4dzYdBsAAAAJ
