name,affiliation,homepage,scholarid
J. A. dos Santos,UFMG,http://homepages.dcc.ufmg.br/~jefersson,wXQnnTUAAAAJ
J. Alex Halderman,University of Michigan,https://jhalderm.com,h6yXnyEAAAAJ
J. Andreas Bærentzen,DTU,https://people.compute.dtu.dk/janba,if2X4wkAAAAJ
J. Andrew Bagnell,Carnegie Mellon University,http://www.ri.cmu.edu/person.html?person_id=689,7t4jbPQAAAAJ
J. B. Wells,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/joseph-brian-wells,NOSCHOLARPAGE
J. Blustein,Dalhousie University,https://www.dal.ca/faculty/computerscience/faculty-staff/j-blustein.html,Q2U30c8AAAAJ
J. Bret Michael,Naval Postgraduate School,http://faculty.nps.edu/vitae/cgi-bin/vita.cgi?p=display_vita&id=1023567701,JYxa6eYAAAAJ
J. C. P. Woodcock,University of York,https://www-users.cs.york.ac.uk/~jim,bO-FeTIAAAAJ
J. Christopher Beck,University of Toronto,http://tidel.mie.utoronto.ca/beck.php,y_pAyuQAAAAJ
J. D. Landa Silva,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/dario.landasilva,T8jdVWwAAAAJ
J. E. W. Smetsers,Radboud University,http://www.cs.ru.nl/S.Smetsers,acnD_MEAAAAJ
J. Eric Fosler,Ohio State University,http://web.cse.ohio-state.edu/~fosler,AlsMV98AAAAJ
J. Fernando A. da Silva,Universidade de Lisboa,https://fenix.tecnico.ulisboa.pt/downloadFile/1126518382134006/fernandos.html,NOSCHOLARPAGE
J. G. Cederquist,Universidade de Lisboa,http://web.ist.utl.pt/~ist24691,ImQ41W0AAAAJ
J. G. Tanenbaum 0001,Univ. of California - Irvine,http://tess.thegeekmovement.com,hiCKhpkAAAAJ
J. Garrett Morris,University of Iowa,https://homepage.cs.uiowa.edu/~jgmorrs,PZIdxNgAAAAJ
J. Gregory Morrisett [Tech],Cornell University,http://www.cs.cornell.edu/~jgm,Dswus94AAAAJ
J. H. M. Lee,Chinese University of Hong Kong,https://www.cse.cuhk.edu.hk/~jlee,3IV-UTsAAAAJ
J. I. den Hartog,TU Eindhoven,https://www.tue.nl/en/university/departments/mathematics-and-computer-science/the-department/staff/detail/ep/e/d/ep-uid/20012328,28P--UkAAAAJ
J. Ian Munro,University of Waterloo,https://cs.uwaterloo.ca/~imunro,NOSCHOLARPAGE
J. J. Garcia-Luna-Aceves,Univ. of California - Santa Cruz,https://www.soe.ucsc.edu/people/jj,wLtmXGQAAAAJ
J. Jay Barber,Northern Arizona University,https://nau.edu/cefns/natsci/math/directory-full-time/barber,NOSCHOLARPAGE
J. Jim Zhu,Ohio University,https://www.ohio.edu/engineering/about/people/profiles.cfm?profile=zhuj,NOSCHOLARPAGE
