name,affiliation,homepage,scholarid
W. Bastiaan Kleijn,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/BastiaanKleijn,NOSCHOLARPAGE
W. Brent Seales,University of Kentucky,https://www.cs.uky.edu/people/faculty/bseales,NOSCHOLARPAGE
W. Eric Wong,University of Texas at Dallas,http://www.utdallas.edu/~ewong,d9Y04UwAAAAJ
W. J. Hurley,Royal Military College of Canada,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/wj-hurley-bsc-mba-phd-professor,NOSCHOLARPAGE
W. K. Chan 0001,City University of Hong Kong,https://www.cs.cityu.edu.hk/~wkchan,-GAmIvsAAAAJ
W. Keith Edwards,Georgia Institute of Technology,http://www.cc.gatech.edu/~keith,QYqwwwcAAAAJ
W. Michelle Harris,Rochester Institute of Technology,https://people.rit.edu/wmhics,NOSCHOLARPAGE
W. Randolph Franklin,Rensselaer Polytechnic Institute,https://www.ecse.rpi.edu/Homepages/wrf/pmwiki,YFX36Q8AAAAJ
W. T. Tsai,Arizona State University,https://cidse.engineering.asu.edu/directory/tsai-wei-tek,NOSCHOLARPAGE
Wade Trappe,Rutgers University,https://www.wadetrappe.com,muk0-U4AAAAJ
Wadee Al-Halabi,King Abdulaziz University,http://www.kau.edu.sa/Contacts.aspx?Site_ID=611&Lng=EN&Cont=18367,NOSCHOLARPAGE
Wadee Alhalabi,King Abdulaziz University,http://www.kau.edu.sa/Contacts.aspx?Site_ID=611&Lng=EN&Cont=18367,NOSCHOLARPAGE
Wadee S. Alhalabi,King Abdulaziz University,http://www.kau.edu.sa/Contacts.aspx?Site_ID=611&Lng=EN&Cont=18367,NOSCHOLARPAGE
Wafaa El-Haweet,King Abdulaziz University,http://www.kau.edu.sa/Content.aspx?Site_ID=61117&lng=EN&cid=60829,NOSCHOLARPAGE
Wagner Meira Jr.,UFMG,http://homepages.dcc.ufmg.br/~meira,oad6_oEAAAAJ
Wai Lam Hoo,University of Malaya,https://umexpert.um.edu.my/wlhoo.html,hlPC_FgAAAAJ
Wai-Kei Mak,National Tsing Hua University,http://www.cs.nthu.edu.tw/~wkmak,NOSCHOLARPAGE
Wai-Tat Fu,Univ. of Illinois at Urbana-Champaign,http://web.engr.illinois.edu/~wfu,W_KpAMcAAAAJ
