name,year
A. J. Milner,1994
Aaron Finerman,1994
Aarti Gupta,2017
Abigail Sellen,2016
Abraham Kandel,1998
Abraham Silberschatz,1996
Adam Finkelstein,2014
Adam Smith,2020
Adele Goldberg,1994
Adi Shamir,2020
Adnan Darwiche,2018
Adolfo Guzman,2002
Adrian Perrig,2016
Ahmed K. Elmagarmid,2012
Ahmed Sameh,1999
Aidong Zhang,2017
Akinori Yonezawa,1999
Alan Borning,2001
Alan Bundy,2014
Alan C. Shaw,1997
Alan Edelman,2020
Alan H. Barr,1995
Alan Kay,2008
Alan Newell,2006
Alan Selman,1998
Alan Smith,2001
Alan W. Biermann,2000
Albert G. Greenberg,2006
Albert J. Turner,1998
Albert R. Meyer,2000
Alberto L. Sangiovanni-Vincentelli,2014
Alex C. Snoeren,2018
Alex Wolman,2018
Alexander Aiken,2008
Alexander L. Wolf,2006
Alexander Vardy,2017
Alfred V. Aho,1996
Alfred Z. Spector,2006
Alistair Sinclair,2012
Alla Sheffer,2021
Allan Borodin,2014
Allan Gottlieb,2004
Allen Tucker,1994
Allison Druin,2016
Alok N. Choudhary,2009
Alon Yitzchak Halevy,2006
Ambuj Goyal,2002
Amin Vahdat,2011
Amir Pnueli,2007
Amit Sahai,2018
Amit Sheth,2021
Amit Singhal,2011
Amos Fiat,2021
Amr El Abbadi,2010
Amy Bruckman,2018
Amy Bruckman,2018
Anand Sivasubramaniam,2017
Anant Agarwal,2007
Anantha Chandrakasan,2021
Anastasia Ailamaki,2015
André DeHon,2018
Andre Seznec,2016
Andrea Arpaci-Dusseau,2020
Andreas Moshovos,2017
Andreas Reuter,2019
Andreas Zeller,2010
Andrei Broder,2007
Andrew A. Chien,2004
Andrew B. Kahng,2012
Andrew Chi-Chih Yao,1995
Andrew Clifford Myers,2013
Andrew D. Gordon,2020
Andrew M. Pitts,2012
Andrew McCallum,2017
Andrew S. Tanenbaum,1996
Andrew Tomkins,2020
Andrew V. Goldberg,2009
Andrew W. Appel,1998
Andries van Dam,1994
Angelos Dennis Keromytis,2017
Anil K. Jain,2003
Anind Dey,2021
Anita Borg,1996
Anita K. Jones,1996
Anna R. Karlin,2012
Anne Condon,2010
Anne-Marie Kermarrec,2016
Anthony C. Hearn,2006
Anthony I. Wasserman,1996
Anthony Oettinger,1995
Anthony Ralston,1994
Antonio Gonzalez,2020
Anupam Gupta,2021
Aravind K. Joshi,1998
Aravind Srinivasan,2014
Aravinda P. Sistla,2021
Arie E. Kaufman,2009
Aristides A. G. Requicha,2007
Arnold Rosenberg,1996
Arvind Arvind,2006
Arvind Krishnamurthy,2020
Assaf Schuster,2015
Avi Wigderson,2018
Avrim Blum,2007
Axel Van Lamsweerde,2000
Azriel Rosenfeld,1994
B. S. Manjunath,2018
Babak Falsafi,2015
Baining Guo,2011
Balaji Prabhakar,2017
Bantwal R. Rau,2002
Barbara B. Simons,1994
Barbara G. Ryder,1998
Barbara J. Grosz,2003
Barbara Liskov,1996
Barry W. Boehm,1997
Bart Selman,2012
Barton P. Miller,2001
Batya Friedman,2021
Bella Bose,2004
Ben Shneiderman,1997
Ben Wegbreit,1994
Ben Y. Zhao,2021
Beng Chin Ooi,2011
Benjamin C. Pierce,2012
Benjamin W. Wah,2004
Bernard A. Galler,1994
Bernard Chazelle,1996
Bernd Meyer,2008
Bernhard Nebel,2021
Bernhard Scholz,2017
Bernt Schiele,2021
Bertram Herzog,1995
Bhavani M. Thuraisingham,2018
Bin Luo,2015
Bjarne Stroustrup,1994
Bjorner Nikolaj,2021
Bob O. Evans,1994
Bobby Schnabel,2010
Bonnie Berger,2003
Bonnie J. Dorr,2020
Brad A. Myers,2005
Brad Calder,2019
Brent T. Hailpern,2003
Brent Waters,2021
Brian Neil Levine,2020
Brian Randell,2008
Bruce Croft,1997
Bruce Davie,2009
Bruce Lindsay,1994
Bruce M. Maggs,2018
Bruce Randall Donald,2009
Bryan Preas,1996
Bryant W. York,2006
Bud Mishra,2007
Burton Smith,1994
Butler W. Lampson,1994
C. Antony R. Hoare,2020
C. Dianne Martin,1999
C. Gordon Bell,1994
C. J. Van Rijsbergen,2003
C. Lee Giles,2006
C. Mohan,2002
C. Vemuri,2009
C.L. Liu,1994
Calvin C. Gotlieb,1994
Carl Ebeling,2011
Carl Kesselman,2017
Carla E. Brodley,2016
Carla P. Gomes,2017
Carla S. Ellis,2010
Carlo Ghezzi,1999
Carlo H. Sequin,1998
Carlo Tomasi,2016
Carlo Zaniolo,2019
Carlos J. P. De Lucena,2013
Cathy Wu,2020
Catriel Beeri,2007
Chak-Kuen Wong,1995
Chandra Narayanaswami,2020
Chandrajit L. Bajaj,2009
Chandramohan A. Thekkath,2009
Charles E. Leiserson,2006
Charles L. Bradshaw,1994
Charles L. Isbell,2018
Charles L. Isbell,2018
Charles Lee Isbell Jr.,2018
Charles M. Geschke,1999
Charles P. Thacker,1994
Charles W. Bachman,2014
Charles W. Gear,1994
Charu Chandra Aggarwal,2013
ChengXiang Zhai,2017
Chenyang Lu,2020
Cherri M. Pancake,2001
Chih-Jen Lin,2015
Chip Elliott,2013
Chris S. Wallace,1995
Christian Cachin,2019
Christian S. Jensen,2011
Christine L. Borgman,2013
Christoforos E. Kozyrakis,2016
Christopher D. Manning,2013
Christos Faloutsos,2010
Christos H. Papadimitriou,2001
Chung Jen Tan,1999
Claire Cardie,2019
Clarence A. Ellis,1998
Cliff B. Jones,1995
Clifford A. Lynch,2017
Clifford Stein,2012
Cordell Green,1994
Cormac Flanagan,2020
Craig Boutilier,2012
Craig Knoblock,2017
Craig Partridge,2003
Cynthia Dwork,2015
Dacheng Tao,2019
Dahlia Malkhi,2011
Dale A. Miller,2021
Dan Boneh,2016
Dan Halperin,2018
Dan R. Olsen,2006
Dan Roth,2011
Dan Suciu,2011
Dana S. Nau,2013
Dana S. Scott,1994
Daniel A. Menascé,1997
Daniel A. Reed,2003
Daniel A. Spielman,2010
Daniel Bobrow,1994
Daniel Cohen-Or,2021
Daniel D. McCracken,1994
Daniel Gusfield,2017
Daniel J. Abadi,2021
Daniel J. Rosenkrantz,1995
Daniel Jackson 0001,2016
Daniel P. Huttenlocher,2007
Daniel P. Siewiorek,1994
Daniel S. Bricklin,1994
Daniel S. Weld,2005
Daniela Rus,2014
Danny Dolev,2007
Darrell Whitley,2019
David A. Bader,2021
David A. Abramson,2010
David A. Basin,2002
David A. Basin,2018
David A. Forsyth,2013
David A. Padua,2007
David A. Wood,2005
David B. Johnson,1995
David B. Lomet,2002
David Brooks,2020
David C. Parkes,2018
David D. Clark,2001
David DeWitt,1995
David E. Culler,2002
David Eppstein,2011
David F. Bacon,2009
David Garlan,2013
David Harel,1994
David J. Farber,2001
David J. Kasik,2013
David J. Kuck,1994
David John Wheeler,1994
David K. Gifford,2011
David Kotz,2021
David L. Dill,1999
David L. Waltz,1999
David Lazer,1998
David Lie,1994
David Lorge Parnas,1994
David M. Blei,2015
David M. Nichols,2005
David M. Ungar,2010
David MacQueen,1999
David Maltz,2020
David P. Dobkin,1998
David P. Williamson,2013
David Patterson,1994
David Paul Grove,2012
David Peleg,2016
David R. Kaeli,2021
David R. Boggs,1994
David R. Karger,2009
David S. Rosenblum,2010
David S. Warren,2000
David S. Wishart,2004
David Shmoys,2001
David Wetherall,2011
David Z. Pan,2021
David Zuckerman,2013
Dawn Song,2019
Dean M. Tullsen,2011
Deborah Estrin,2000
Deborah Frincke,2019
Deepak Ganesan,2021
Demetri Terzopoulos,2007
Dennis J. Frailey,1996
Dennis Shasha,2013
Der-Tsai Lee,1997
Dexter Kozen,2003
Dharma P. Agrawal,1998
Dhiraj Pradhan,1999
Diana Marculescu,2019
Diane L. Souvaine,2011
Dianne P. O'Leary,2006
Diego Calvanese,2019
Dieter Fox,2020
Dieter Rombach,2010
Dina Katabi,2013
Dines Bjorner,2005
Dinesh Manocha,2009
Divyakant Agrawal,2011
Domenico Ferrari,2001
Don Towsley,1997
Donald A. Norman,2001
Donald Chamberlin,1994
Donald E. Knuth,1994
Donald E. Thomas,2007
Donald J. Haderle,2000
Donald Kossmann,2010
Donald P. Greenberg,1995
Donald R. Slutz,1994
Donald W. Loveland,2000
Donn B. Parker,2001
Dorin Comaniciu,2017
Dorothy E. Denning,1995
Douglas B. Terry,2008
Douglas C. Burger,2010
Douglas Comer,2000
Douglas K. Brotz,1994
Douglas S. Lea,2013
Dragomir R. Radev,2015
Ed Coffman,1994
Edgar F. Codd,1994
Edith Cohen,2017
Edmund M. Clarke,1998
Edouard Bugnion,2017
Edsger W. Dijkstra,1994
Edward A. Feigenbaum,2007
Edward A. Fox,2017
Edward A. Taft,1994
Edward Chang,2021
Edward D. Lazowska,1995
Edward M. Reingold,1996
Edward McCluskey,1994
Edward W. Felten,2007
Edward W. Knightly,2017
Edwin Catmull,1995
Elad Hazan,2021
Elaine Weyuker,1997
Elchanan Mossel,2021
Elena Ferrari,2019
Eli Upfal,2005
Elisa Bertino,2003
Elizabeth D. Mynatt,2015
Elizabeth F. Churchill,2019
Elizabeth M. Belding,2018
Ellen M. Voorhees,2018
Ellen W. Zegura,2013
Emery D. Berger,2019
Emmerich Welzl,1998
Eric A. Brewer,2007
Eric A. Weiss,1994
Eric Allender,2006
Eric Grimson,2014
Eric Horvitz,2014
Eric Roberts,2007
Erich L. Kaltofen,2009
Erik D. Demaine,2016
Erol Gelenbe,2001
Erwin Engeler,1995
Eugene H. Spafford,1998
Eugene W. Myers,2003
Éva Tardos,1998
Evgeniy Gabrilovich,2021
Faith Ellen,2014
Farnam Jahanian,2009
Fei-Fei Li,2018
Feifei Li,2021
Fernando J. Corbato,1994
Fernando Pereira,2010
Filippo Menczer,2021
Foto Afrati,2014
Frances Allen,1994
Francine Berman,2000
Franco P. Preparata,1995
Frank Friedman,1994
Frank Kenneth Zadeck,2011
Frank Mueller,2018
Frank Pfenning,2015
Frank Wm. Tompa,2010
Franz L. Alt,1994
Fred B. Schneider,1995
Fred H. Harris,1994
Fred W. Weingarten,1996
Frederick Brooks,1994
Frédo Durand,2016
Furong Huang,2016
Gabriel H. Loh,2017
Gaetano Borriello,2009
Gail C. Murphy,2017
Ganesan Ramalingam,2016
Ganesh Ramakrishnan,2001
Garth A. Gibson,2012
Gary L. Miller,2002
Gary M. Olson,2007
Gautam Das,2021
Gene Tsudik,2014
Geoffrey C. Fox,2011
Geoffrey M. Voelker,2017
Georg Gottlob,2007
George Dodd,1996
George E. Collins,2004
George Furnas,2011
George G. Robertson,2001
George Varghese,2002
Gerald J. Sussman,1994
Gerald L. Engel,1994
Gerald Tesauro,2018
Gerard J. Holzmann,2011
Gerard Salton,1995
Gerhard Fischer,2009
Gerhard Weikum,2005
Gernot Heiser,2014
Gio Wiederhold,1995
Giovanni De Micheli,2001
Giovanni Vigna,2019
Giuseppe De Giacomo,2015
Glenn Ricart,2021
Gopal Krishna Gupta,1998
Gordon B. Davis,1997
Gordon Plotkin,2021
Grady Booch,1995
Graham R. Cormode,2021
Gregor Kiczales,2012
Gregor von Bochmann,1996
Gregory D. Abowd,2008
Gregory D. Hager,2017
Gregory R. Andrews,1998
Gul A. Agha,2018
Gurindar S. Sohi,2003
Gurudatta Parulkar,2018
Gustavo Alonso,2012
Guy E. Blelloch,2011
Guy L. Steele,1994
H. V. Jagadish,2003
H. W. Lawson,1997
Haesun Park,2021
Hagit Attiya,2009
Hai Li,2021
Hal Berghel,1998
Hamid Pirahesh,2008
Hanan Samet,1996
Hans Boehm,2012
Hans-Joerg Schek,2001
Hans-Peter Seidel,2009
Hanspeter Pfister,2019
Hari Balakrishnan,2008
Harold J. Highland,1995
Harold N. Gabow,2002
Harold Stone,1994
Harry D. Huskey,1994
Harry Shum,2006
Harvey G. Cragon,1994
Hector Garcia-Molina,1997
Heng Tao Shen,2021
Henning Schulzrinne,2014
Henry A. Kautz,2013
Henry F. Korth,2000
Henry Fuchs,1995
Henry M. Levy,1996
Herbert A. Simon,1994
Herbert Freeman,1997
Herbert Maisel,1994
Herbert R. J. Grosch,1995
Holger H. Hoos,2020
Holly E. Rushmeier,2016
HongJiang Zhang,2007
Howard J. Karloff,2011
Howard Siegel,1998
Hsinchun Chen,2015
Huajie Zhang,2005
Huan Liu,2018
Hubertus Franke,2021
Hugues Hoppe,2011
Ian F. Akyildiz,1997
Ian H. Witten,1996
Ian T. Foster,2009
Ihab F. Ilyas,2021
Imrich Chlamtac,1997
Inderjit S. Dhillon,2014
Ingemar J. Cox,2013
Insup Lee,2017
Ion Stoica,2012
Ira Pohl,2001
Irene Greif,1997
Irv Traiger,1994
Ivan Sutherland,1994
J. D. Couger,1997
J. Eliot B. Moss,2007
J. Gregory Morrisett,2013
J. Ian Munro,2008
J. Mark Pullen,2001
J. N. Hume,1994
J. Nievergelt,1995
J. Presper Eckert,1994
J. Strother Moore,2006
J. Turner Whitted,1995
J.J. Garcia-Luna-Aceves,2008
Jack Dennis,1994
Jack J. Dongarra,2001
Jack Minker,1994
Jack W. Davidson,2008
Jacob Abraham,2001
Jacob Otto Wobbrock,2021
James A. Hendler,2016
James A. Landay,2016
James Allan,2020
James Allan,2021
James C. Hoe,1998
James D. Foley,1999
James Demmel,1999
James F. Kurose,2001
James Goodman,2010
James Gosling,2013
James H. Anderson,2013
James H. Morris,2000
James Jay Horning,1998
James M. Adams,1994
James R. Larus,2006
Janak H. Patel,2001
Janis A. Bubenko,2004
Janos Pach,2011
Jason Cong,2008
Jason Flinn,2016
Jason Nieh,2019
Jayadev Misra,1995
Jayant R. Haritsa,2015
Jean E. Sammet,1994
Jean Gao,2013
Jean-Loup E. Baer,1997
Jean-Pierre Hubaux,2010
Jeanne Ferrante,1996
Jeannette M. Wing,1998
Jeff Kramer,2001
Jeff Rulifson,1994
Jeffrey C. Mogul,2001
Jeffrey D. Ullman,1995
Jeffrey F. Naughton,2002
Jeffrey H. Lang,2009
Jeffrey Jaffe,1996
Jeffrey S. Rosenschein,2019
Jennifer Chayes,2010
Jennifer Rexford,2008
Jennifer Widom,2005
Jessica K. Hodgins,2018
Jian Pei,2015
Jiawei Han 0001,2003
Jie Tang,2021
Jiebo Luo,2018
Jignesh M. Patel,2014
Jim Gray,1994
Jin-Yi Cai,2001
Jitendra Malik,2008
Joan Feigenbaum,2001
Jodi Forlizzi,2021
Joel Emer,2004
Joel Moses,2008
Joel Ouaknine,2021
Joel S. Birnbaum,2001
Johan DeKleer,2001
Johan Håstad,2018
Johannes Gehrke,2014
John A. Carroll,2003
John A. Lee,1994
John A. Richards,1998
John A. Stankovic,1996
John B. Goodenough,1995
John C. Klensin,2007
John C. Mitchell,2008
John C. Reynolds,2001
John C. S. Lui,2009
John Canny,2021
John D. Gannon,1999
John E. Hopcroft,1994
John E. Laird,2006
John E. Savage,1996
John H. Hine,1994
John H. Reif,1997
John Hershberger,2012
John Hughes,2018
John K. Ousterhout,1994
John Kim,1995
John L. Hennessy,1997
John Launchbury,2010
John M. Mellor-Crummey,2013
John McCarthy,1994
John P. Hayes,2001
John R. White,1995
John Rice,1996
John Sanguinetti,2011
John T. Riedl,2009
John V. Guttag,2006
John Warnock,1999
John Wilkes,2002
Jon Crowcroft,2002
Jon M. Kleinberg,2013
Jonathan Grudin,2012
Jonathan Katz,2021
Jonathan Lee,2008
Jonathan Turner,2001
Joost-Pieter Katoen,2021
Jose A. Blakeley,2009
Jose L. Encarnacao,1996
Jose Meseguer,2021
Josep Torrellas,2010
Joseph A. Konstan,2008
Joseph Bryan Lyles,2016
Joseph F. Jaja,2001
Joseph M. Hellerstein,2009
Joseph Mitchell,2011
Joseph O'Rourke,2012
Joseph S. DeBlasi,1999
Joseph Sifakis,2012
Joseph Traub,1994
Joseph Y. Halpern,2002
Joshua Lederberg,1994
Joyce Currie Little,1994
Juan E. Gilbert,2018
Judea Pearl,2015
Judith Gal-Ezer,2021
Judith S. Olson,2008
Julia Hirschberg,2015
Juliana Freire,2014
Juris Hartmanis,1994
Justine Cassell,2016
K. K. Ramakrishnan,2017
K. Mani Chandy,2019
K. Rustan M. Leino,2016
Kai Li,1998
Kang G. Shin,2001
Karem A. Sakallah,2012
Karen Duncan,2000
Katherine A. Yelick,2012
Kathleen Fisher,2010
Kathryn S. McKinley,2008
Kathy McKeown,2003
Katy Börner,2018
Kavita Bala,2019
Keith D. Cooper,2005
Keith Marzullo,2011
Keith W. Ross,2012
Kenneth C. Sevcik,1997
Kenneth Clarkson,2008
